iter	Passed	Remaining
839	65861	12545
840	65937	12466
841	66010	12386
842	66087	12308
843	66149	12226
844	66222	12147
845	66306	12069
846	66371	11989
847	66444	11909
848	66509	11829
849	66581	11749
850	66657	11670
851	66733	11592
852	66796	11511
853	66872	11432
854	66946	11353
855	67026	11275
856	67106	11197
857	67186	11119
858	67264	11041
859	67353	10964
860	67426	10885
861	67492	10805
862	67567	10726
863	67637	10646
864	67717	10568
865	67788	10489
866	67864	10410
867	67940	10331
868	68010	10252
869	68077	10172
870	68152	10093
871	68222	10014
872	68294	9935
873	68368	9856
874	68439	9777
875	68521	9699
876	68600	9621
877	68672	9542
878	68753	9464
879	68835	9386
880	68903	9307
881	68987	9229
882	69056	9150
883	69139	9072
884	69229	8995
885	69306	8917
886	69393	8840
887	69469	8761
888	69553	8684
889	69642	8607
890	69723	8529
891	69807	8451
892	69874	8372
893	69953	8294
894	70019	8214
895	70095	8136
896	70175	8058
897	70258	7980
898	70333	7901
899	70418	7824
900	70499	7746
901	70576	7667
902	70660	7590
903	70726	7510
904	70806	7432
905	70880	7354
906	70948	7274
907	71020	7195
908	71101	7117
909	71175	7039
910	71249	6960
911	71324	6882
912	71397	6803
913	71478	6725
914	71546	6646
915	71634	6569
916	71706	6490
917	71794	6413
918	71897	6336
919	71975	6258
920	72079	6182
921	72150	6103
922	72219	6024
923	72301	5946
924	72376	5868
925	72470	5791
926	72543	5712
927	72623	5634
928	72698	5556
929	72775	5477
930	72852	5399
931	72954	5322
932	73038	5244
933	73128	5167
934	73213	5089
935	73293	5011
936	73365	4932
937	73447	4854
938	73528	4776
939	73613	4698
940	73705	4621
941	73783	4542
942	73854	4464
943	73940	4386
944	74013	4307
945	74095	4229
946	74168	4150
947	74248	4072
948	74323	3994
949	74400	3915
950	74466	3836
951	74539	3758
952	74626	3680
953	74701	3601
954	74775	3523
955	74847	3444
956	74914	3366
957	74992	3287
958	75071	3209
959	75153	3131
960	75223	3052
961	75307	2974
962	75387	2896
963	75471	2818
964	75556	2740
965	75628	2661
966	75703	2583
967	75785	2505
968	75859	2426
969	75928	2348
970	76009	2270
971	76083	2191
972	76175	2113
973	76256	2035
974	76333	1957
975	76405	1878
976	76480	1800
977	76553	1722
978	76627	1643
979	76702	1565
980	76764	1486
981	76837	1408
982	76901	1329
983	76984	1251
984	77061	1173
985	77133	1095
986	77208	1016
987	77287	938
988	77352	860
989	77423	782
990	77498	703
991	77573	625
992	77651	547
993	77728	469
994	77811	391
995	77897	312
996	77979	234
997	78064	156
998	78146	78
999	78233	0
